,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Red Lentil Curry,44.0,192,0.0,11.3,227.0,6.0,61.0,4.0,1000.0,727.0,12.1,4.48824453353882,16641/red-lentil-curry/,indian,0.0,572.0,7.0,0.0,Red Lentil Curry,32.5,2.6,377IU,0.0,9.0
Chicken Makhani (Indian Butter Chicken),135.0,408,107.0,2.2,24.0,3.0,49.0,9.0,1000.0,625.0,23.4,4.50079107284546,45957/chicken-makhani-indian-butter-chicken/,indian,11.0,523.0,5.0,0.0,Chicken Makhani (Indian Butter Chicken),15.6,27.8,1194IU,0.0,12.0
Easy Indian Butter Chicken,134.0,880,303.0,2.6,26.0,2.0,50.0,12.0,1000.0,567.0,26.4,4.7105507850647,141169/easy-indian-butter-chicken/,indian,48.0,1461.0,5.0,0.0,Easy Indian Butter Chicken,12.8,82.3,3092IU,0.0,11.0
Spicy Vegan Potato Curry,107.0,407,0.0,10.1,94.0,7.0,98.0,4.0,1000.0,1090.0,10.1,4.49796342849731,165190/spicy-vegan-potato-curry/,indian,13.0,1176.0,6.0,0.0,Spicy Vegan Potato Curry,50.6,20.1,1069IU,1.0,44.0
Indian Chicken Curry (Murgh Kari),143.0,427,95.0,2.9,29.0,3.0,64.0,23.0,1000.0,699.0,38.1,4.74292182922363,212721/indian-chicken-curry-murgh-kari/,indian,5.0,1370.0,5.0,0.0,Indian Chicken Curry (Murgh Kari),14.7,24.3,748IU,1.0,12.0
Chickpea Curry,51.0,135,0.0,4.6,56.0,2.0,28.0,1.0,648.0,217.0,4.1,4.24024963378906,34689/chickpea-curry/,indian,1.0,289.0,1.0,0.0,Chickpea Curry,20.5,4.5,506IU,0.0,7.0
Slow Cooker Butter Chicken,134.0,480,103.0,4.0,33.0,6.0,79.0,12.0,1000.0,824.0,30.6,4.48495006561279,174543/slow-cooker-butter-chicken/,indian,19.0,442.0,8.0,0.0,Slow Cooker Butter Chicken,17.2,33.3,647IU,0.0,11.0
Baingan Bharta (Eggplant Curry),93.0,146,2.0,6.2,50.0,1.0,38.0,2.0,410.0,559.0,4.0,4.32051277160645,47564/baingan-bharta-eggplant-curry/,indian,1.0,739.0,8.0,0.0,Baingan Bharta (Eggplant Curry),15.2,8.0,596IU,0.0,12.0
Chicken Parmigiana,445.0,528,184.0,5.6,70.0,4.0,80.0,23.0,2000.0,804.0,43.5,4.5751047134399405,8975/chicken-parmigiana/,italian,8.0,1309.0,17.0,0.0,Chicken Parmigiana,44.9,18.3,1097IU,1.0,3.0
Shrimp Scampi with Pasta,52.0,511,135.0,3.5,144.0,5.0,62.0,8.0,2000.0,268.0,21.9,4.55847930908203,229960/shrimp-scampi-with-pasta/,italian,7.0,260.0,1.0,0.0,Shrimp Scampi with Pasta,57.5,19.4,849IU,0.0,10.0
