,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Chicken Marsala,Chicken Marsala,8887/chicken-marsala/,7k,4.53660821914673,italian,448,26.6g,10.0g,99mg,543mg,411mg,13.3g,0.5g,28.8g,3g,393IU,2mg,25mg,2mg,0mg,20mg,1mg,40mg,23mcg
"Bow Ties with Sausage, Tomatoes and Cream","Bow Ties with Sausage, Tomatoes and Cream",26257/bow-ties-with-sausage-tomatoes-and-cream/,5k,4.68594837188721,italian,656,42.1g,20.0g,111mg,1088mg,350mg,50.9g,3.4g,20.1g,7g,1693IU,17mg,91mg,3mg,0mg,7mg,0mg,43mg,121mcg
Eggplant Parmesan II,Eggplant Parmesan II,25321/eggplant-parmesan-ii/,4k,4.45294952392578,italian,487,16g,7.0g,73mg,1663mg,815mg,62.1g,8.8g,24.2g,20g,1089IU,5mg,512mg,4mg,0mg,10mg,0mg,63mg,50mcg
Italian Spaghetti Sauce with Meatballs,Italian Spaghetti Sauce with Meatballs,21353/italian-spaghetti-sauce-with-meatballs/,4k,4.52386522293091,italian,349,21.2g,6.0g,77mg,1492mg,1023mg,23.7g,4.5g,18.9g,12g,825IU,33mg,140mg,6mg,0mg,9mg,1mg,59mg,46mcg
Garlic Cheddar Chicken,Garlic Cheddar Chicken,70522/garlic-cheddar-chicken/,4k,4.6103458404541,italian,400,24.9g,15.0g,129mg,488mg,265mg,8.4g,0.5g,34.5g,1g,657IU,1mg,280mg,2mg,0mg,18mg,1mg,37mg,20mcg
Gourmet Mushroom Risotto,Gourmet Mushroom Risotto,85389/gourmet-mushroom-risotto/,4k,4.79156494140625,italian,431,16.6g,7.0g,29mg,1131mg,692mg,56.6g,2.7g,11.3g,4g,520IU,4mg,70mg,2mg,0mg,8mg,0mg,24mg,37mcg
Chicken Parmesan,Chicken Parmesan,223042/chicken-parmesan/,7k,4.81814861297607,italian,471,24.9g,9.0g,187mg,840mg,389mg,24.8g,0.6g,42.1g,2g,628IU,3mg,380mg,2mg,0mg,19mg,1mg,44mg,31mcg
American Lasagna,American Lasagna,11729/american-lasagna/,2k,4.68015432357788,italian,664,29.5g,15.0g,168mg,1900mg,872mg,48.3g,4.2g,50.9g,14g,1758IU,23mg,759mg,6mg,0mg,15mg,0mg,78mg,108mcg
Chicken Milano,Chicken Milano,19304/chicken-milano/,3k,4.62079763412476,italian,641,34.8g,17.0g,156mg,501mg,681mg,47g,2.8g,36.3g,5g,1116IU,5mg,76mg,3mg,0mg,22mg,1mg,77mg,124mcg
Slow Cooker Italian Beef for Sandwiches,Slow Cooker Italian Beef for Sandwiches,16427/slow-cooker-italian-beef-for-sandwiches/,2k,4.62986755371094,italian,318,15.8g,6.0g,100mg,819mg,530mg,1.6g,0.2g,39.4g,1g,30IU,0mg,17mg,3mg,0mg,12mg,0mg,35mg,15mcg
